"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","31.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=96945&sex=mixed&loo=31.50000&k=1.50000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=21524&gm_lm_rl=0.37000000476837"">1.50</a>","","","","","","3.17","Pakistan","Sindh","No","No"
"2","44.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=312&sex=male&loo=44.70000&k=0.65200&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=3071&gm_lm_rl=0.37000000476837"">0.65</a>","","M","","28.0","","3.11","India","Hoogly River","No","No"
"3","46.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=312&sex=female&loo=46.10000&k=1.03000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=3070&gm_lm_rl=0.37000000476837"">1.03</a>","","F","","28.0","","3.34","India","Hoogly River","Yes","No"
"4","51.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=1751&sex=unsexed&loo=51.10000&k=0.49000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=3077&gm_lm_rl=0.37000000476837"">0.49</a>","","","","22.4","19.0","3.11","India","Mandapam area","No","No"
"5","52.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=43871&sex=mixed&loo=52.50000&k=0.36000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=6815&gm_lm_rl=0.37000000476837"">0.36</a>","-0.07","","","24.0","","3.00","Kuwait","","No","No"
"6","56.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=1491&sex=unsexed&loo=56.40000&k=0.91000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=3074&gm_lm_rl=0.37000000476837"">0.91</a>","","","","22.4","","3.46","Bangladesh","Chittagong","Yes","No"
"7","56.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=1491&sex=unsexed&loo=56.50000&k=0.97000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=3075&gm_lm_rl=0.37000000476837"">0.97</a>","","","","22.4","","3.49","Bangladesh","Bay of Bengal","Yes","No"
"8","56.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=1491&sex=unsexed&loo=56.80000&k=1.15000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=3076&gm_lm_rl=0.37000000476837"">1.15</a>","","","","22.4","","3.57","Bangladesh","Chittagong","Yes","No"
"9","59.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=1490&sex=unsexed&loo=59.20000&k=0.80000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=3072&gm_lm_rl=0.37000000476837"">0.80</a>","","","","28.0","","3.45","India","Hooghly estuary, West Bengal","Yes","No"
"10","60.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=1490&sex=unsexed&loo=60.00000&k=0.85000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=3073&gm_lm_rl=0.37000000476837"">0.85</a>","","","","28.0","","3.49","India","Hooghly estuary, West Bengal","Yes","No"
"11","60.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1789&pref=46748&sex=unsexed&loo=60.00000&k=0.82000&id2=1596&genusname=Tenualosa&speciesname=ilisha&gm_loo=51.471114584003&gm_lm=19&gm_m=1&gm_k=0.81155684432504&vautoctr=7000&gm_lm_rl=0.37000000476837"">0.82</a>","","","","28.0","","3.47","Bangladesh","Goalundo, Chandpur, Khulna, Barisal and Chittagong","Yes","No"
