"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","145.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=96992&sex=unsexed&loo=145.00000&k=0.10000&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=21537&gm_lm_rl=1"">0.10</a>","","","","","","3.32","","Western Central Pacific","No","No"
"2","148.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=1263&sex=unsexed&loo=148.00000&k=0.42000&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=939&gm_lm_rl=1"">0.42</a>","","","","28.5","","3.96","Philippines","Sulu Sea","No","No"
"3","152.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=312&sex=unsexed&loo=152.00000&k=0.66300&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=930&gm_lm_rl=1"">0.66</a>","-0.62","","","","","4.19","","","No","No"
"4","159.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=312&sex=unsexed&loo=159.00000&k=0.16000&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=931&gm_lm_rl=1"">0.16</a>","-0.47","","","13.0","","3.61","France","Eastern Atlantic","No","No"
"5","162.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=1291&sex=unsexed&loo=162.00000&k=0.66000&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=940&gm_lm_rl=1"">0.66</a>","","","","25.0","120.0","4.24","Mexico","19.5°N 111°E","No","No"
"6","166.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=1298&sex=unsexed&loo=166.00000&k=0.55700&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=945&gm_lm_rl=1"">0.56</a>","","","","26.6","","4.19","Congo","off Pointe Noire","No","No"
"7","166.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=36276&sex=unsexed&loo=166.00000&k=0.25000&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=5470&gm_lm_rl=1"">0.25</a>","","","","23.0","","3.84","","Western tropical Pacific","No","No"
"8","166.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=57670&sex=mixed&loo=166.39999&k=0.86400&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=9041&gm_lm_rl=1"">0.86</a>","1.29","","","","","4.38","","Eastern Atlantic","Yes","No"
"9","167.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=312&sex=male&loo=167.00000&k=0.18300&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=929&gm_lm_rl=1"">0.18</a>","","M","","22.0","","3.71","Mauritania","","No","No"
"10","169.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=312&sex=unsexed&loo=169.00000&k=0.56400&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=932&gm_lm_rl=1"">0.56</a>","","","","22.0","","4.21","Japan","","No","No"
"11","172.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=1291&sex=unsexed&loo=172.00000&k=0.56000&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=941&gm_lm_rl=1"">0.56</a>","","","","25.0","120.0","4.22","Mexico","19.5°N 111°E","No","No"
"12","173.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=1291&sex=unsexed&loo=173.00000&k=0.66000&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=942&gm_lm_rl=1"">0.66</a>","","","","25.0","120.0","4.30","Mexico","19.5°N 111°E","No","No"
"13","174.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=57670&sex=female&loo=174.89999&k=0.37200&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=9040&gm_lm_rl=1"">0.37</a>","0.00","F","","","","4.06","","Western Pacific","No","No"
"14","175.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=96992&sex=unsexed&loo=175.00000&k=0.39200&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=21538&gm_lm_rl=1"">0.39</a>","","","","","","4.08","","Western Central Pacific","No","No"
"15","176.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=96992&sex=unsexed&loo=176.00000&k=0.55400&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=21539&gm_lm_rl=1"">0.55</a>","","","","","","4.23","","Equatorial Western Central Pacific","No","No"
"16","180.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=57670&sex=mixed&loo=180.89999&k=0.29200&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=9038&gm_lm_rl=1"">0.29</a>","0.00","","","","","3.98","","Western Pacific","No","No"
"17","182.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=1297&sex=unsexed&loo=182.00000&k=0.44300&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=944&gm_lm_rl=1"">0.44</a>","","","","26.6","","4.17","Congo","off Pointe Noire","No","No"
"18","182.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=157&pref=1298&sex=unsexed&loo=182.00000&k=0.43100&id2=143&genusname=Thunnus&speciesname=albacares&gm_loo=184.70712742539&gm_lm=120&gm_m=0.44721359549996&gm_k=0.33739295825878&vautoctr=946&gm_lm_rl=1"">0.43</a>","","","","22.0","","4.15","Senegal","","No","No"
