"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","218.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=312&sex=unsexed&loo=218.00000&k=0.16200&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=964&gm_lm_rl=0.30000001192093"">0.16</a>","-1.12","","0.10","20.0","","3.89","USA","Growth: Northeastern USA; M for Gulf of Mexico","No","No"
"2","266.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=5760&sex=female&loo=266.00000&k=0.17000&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=975&gm_lm_rl=0.30000001192093"">0.17</a>","","F","","15.0","","4.08","USA","West Atlantic","No","No"
"3","270.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=796&sex=unsexed&loo=270.00000&k=0.60000&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=970&gm_lm_rl=0.30000001192093"">0.60</a>","","","","12.0","","4.64","Germany","North Sea","Yes","No"
"4","278.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=5760&sex=male&loo=278.00000&k=0.17000&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=976&gm_lm_rl=0.30000001192093"">0.17</a>","","M","","15.0","","4.12","USA","West Atlantic","No","No"
"5","298.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=58233&sex=unsexed&loo=298.50000&k=0.24000&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=9179&gm_lm_rl=0.30000001192093"">0.24</a>","-0.32","","","","","4.33","Algeria","","Yes","No"
"6","313.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=5760&sex=unsexed&loo=313.00000&k=0.12000&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=977&gm_lm_rl=0.30000001192093"">0.12</a>","","","","15.0","","4.07","USA","Northwest Atlantic","No","No"
"7","315.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=58226&sex=unsexed&loo=315.50000&k=0.08500&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=9178&gm_lm_rl=0.30000001192093"">0.09</a>","-1.22","","","","","3.93","Turkey","Aegean Sea","No","No"
"8","318.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=312&sex=unsexed&loo=318.00000&k=0.09100&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=965&gm_lm_rl=0.30000001192093"">0.09</a>","-0.30","","","15.0","","3.96","USA","Long Island, New York","No","No"
"9","319.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=26804&sex=unsexed&loo=319.00000&k=0.09300&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=980&gm_lm_rl=0.30000001192093"">0.09</a>","-0.97","","","13.0","","3.98","France","Northeast Atlantic","No","No"
"10","319.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=161&pref=93100&sex=unsexed&loo=319.00000&k=0.09000&id2=147&genusname=Thunnus&speciesname=thynnus&gm_loo=344.42899344606&gm_lm=97.5&gm_m=0.15540120384668&gm_k=0.094960069639495&vautoctr=11082&gm_lm_rl=0.30000001192093"">0.09</a>","-0.09","","","","","3.96","","Mediterranean, Black Sea and Azov Sea (all GSA)","No","No"
