"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","33.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=312&sex=unsexed&loo=33.90000&k=0.41200&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4200&gm_lm_rl=1"">0.41</a>","","","","","","2.68","UK Scotland","Douglas Waters","No","No"
"2","37.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=593&sex=unsexed&loo=37.50000&k=0.21400&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4203&gm_lm_rl=1"">0.21</a>","-0.08","","","4.0","","2.48","Russia","Kanin Peninsula","No","No"
"3","40.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=6364&sex=unsexed&loo=40.70000&k=0.40000&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4207&gm_lm_rl=1"">0.40</a>","","","","","","2.82","Finland","River Isojoki","No","No"
"4","42.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=6364&sex=unsexed&loo=42.90000&k=0.36000&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4208&gm_lm_rl=1"">0.36</a>","","","","","","2.82","Finland","Lake Pielinen","No","No"
"5","43.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=312&sex=unsexed&loo=43.20000&k=0.17000&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4201&gm_lm_rl=1"">0.17</a>","","","0.31","","","2.50","Russia","`European waters'","No","No"
"6","43.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=6364&sex=unsexed&loo=43.30000&k=0.29800&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4209&gm_lm_rl=1"">0.30</a>","","","","","","2.75","Finland","River Nukkumajoki","No","No"
"7","45.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=312&sex=unsexed&loo=45.00000&k=0.26200&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4202&gm_lm_rl=1"">0.26</a>","","","","","","2.72","UK Scotland","River Gryfe","No","No"
"8","58.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=6364&sex=unsexed&loo=58.20000&k=0.16000&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4210&gm_lm_rl=1"">0.16</a>","","","","","","2.73","Finland","Lake Harrijärvi","No","No"
"9","59.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=6364&sex=unsexed&loo=59.40000&k=0.26500&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4211&gm_lm_rl=1"">0.27</a>","","","","","","2.97","Finland","Lake Iso-Saimaa","No","No"
"10","61.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4792&pref=6364&sex=unsexed&loo=61.40000&k=0.14100&id2=4605&genusname=Thymallus&speciesname=thymallus&gm_loo=52.934147365477&gm_lm=1&gm_m=0.31&gm_k=0.19356898195327&vautoctr=4212&gm_lm_rl=1"">0.14</a>","","","","","","2.73","Finland","River Kemihaara","No","No"
