"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","22.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=312&sex=unsexed&loo=22.40000&k=0.29900&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=2507&gm_lm_rl=0.47035736126435"">0.30</a>","","","","14.3","","2.18","Russia","Black Sea","Yes","No"
"2","25.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=58187&sex=unsexed&loo=25.30000&k=0.63000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=9164&gm_lm_rl=0.47035736126435"">0.63</a>","","","","","","2.61","Algeria","Beni-Saf","No","No"
"3","28.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=58187&sex=unsexed&loo=28.80000&k=0.42000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=9165&gm_lm_rl=0.47035736126435"">0.42</a>","","","","","","2.54","Algeria","Beni-Saf","No","No"
"4","29.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=5533&sex=female&loo=29.50000&k=0.28000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=2514&gm_lm_rl=0.47035736126435"">0.28</a>","","F","0.39","17.5","","2.39","Algeria","Bou-Ismail","No","No"
"5","29.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=5533&sex=male&loo=29.90000&k=0.23000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=2515&gm_lm_rl=0.47035736126435"">0.23</a>","","M","0.39","17.5","","2.31","Algeria","Bou-Ismail","No","No"
"6","30.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=27030&sex=mixed&loo=30.70000&k=0.36800&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=2533&gm_lm_rl=0.47035736126435"">0.37</a>","-0.76","","","14.0","","2.54","Greece","Saronikos Gulf","No","No"
"7","33.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=27030&sex=mixed&loo=33.00000&k=0.35000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=2534&gm_lm_rl=0.47035736126435"">0.35</a>","","","","14.0","","2.58","Greece","Gulf of Saronikos, Athens","No","No"
"8","33.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56773&pref=6974&sex=unsexed&loo=33.80000&k=0.28900&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=2520&gm_lm_rl=0.47035736126435"">0.29</a>","","","","9.0","","2.52","","North Sea","No","No"
"9","34.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56773&pref=27256&sex=unsexed&loo=34.10000&k=0.19000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=8349&gm_lm_rl=0.47035736126435"">0.19</a>","","","","","18.9","2.34","","Western stock","No","No"
"10","34.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=96303&sex=female&loo=34.30000&k=0.16000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=21092&gm_lm_rl=0.47035736126435"">0.16</a>","-4.27","F","","","","2.27","Netherlands","southern North Sea","No","No"
"11","34.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=96303&sex=male&loo=34.50000&k=0.15000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=21093&gm_lm_rl=0.47035736126435"">0.15</a>","-4.43","M","","","","2.25","Netherlands","southern North Sea","No","No"
"12","37.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=6104&sex=unsexed&loo=37.50000&k=0.22000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=2519&gm_lm_rl=0.47035736126435"">0.22</a>","-1.28","","","14.0","16.5","2.49","Italy","Adriatic Sea","No","No"
"13","38.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1383&pref=7032&sex=unsexed&loo=38.00000&k=0.25000&id2=1365&genusname=Trachurus&speciesname=trachurus&gm_loo=39.517769638863&gm_lm=18.656672710678&gm_m=0.39&gm_k=0.20545245410262&vautoctr=2531&gm_lm_rl=0.47035736126435"">0.25</a>","-0.98","","","17.5","21.0","2.56","Mauritania","Cape Blanc/Cape Bojador","No","No"
