"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","40.1","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=male&loo=40.10000&k=0.55300&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6276&gm_lm_rl=0.37999999523163"">0.55</a>","-0.20","M","","10.0","","2.95","Japan","Tsushima waters (autumn brood)","Yes","No"
"2","43.4","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=unsexed&loo=43.40000&k=0.28900&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=2343&gm_lm_rl=0.37999999523163"">0.29</a>","-0.41","","","12.0","","2.74","Japan","Suruga Bay","Yes","No"
"3","43.9","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=male&loo=43.90000&k=0.48100&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6274&gm_lm_rl=0.37999999523163"">0.48</a>","-0.46","M","","10.0","","2.97","Japan","Tsushima waters (spring brood)","Yes","No"
"4","43.9","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=unsexed&loo=43.90000&k=0.52400&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6267&gm_lm_rl=0.37999999523163"">0.52</a>","0.53","","","12.0","","3.00","Japan","Kumano-Nada (autumn brood)","Yes","No"
"5","45.6","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=unsexed&loo=45.60000&k=0.40800&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6259&gm_lm_rl=0.37999999523163"">0.41</a>","0.44","","","21.0","","2.93","China","East China Sea, Yellow Sea and Bo Hai","Yes","No"
"6","46.5","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=female&loo=46.50000&k=0.45900&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6275&gm_lm_rl=0.37999999523163"">0.46</a>","-0.22","F","","10.0","","3.00","Japan","Tsushima waters (autumn brood)","Yes","No"
"7","47.7","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=unsexed&loo=47.70000&k=0.29200&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6277&gm_lm_rl=0.37999999523163"">0.29</a>","-0.63","","","21.0","","2.82","China","Taiwan Strait","Yes","No"
"8","48.1","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=male&loo=48.10000&k=0.21600&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6272&gm_lm_rl=0.37999999523163"">0.22</a>","-1.98","M","","21.0","","2.70","Japan","Kagoshima Bay","Yes","No"
"9","48.3","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=unsexed&loo=48.30000&k=0.39600&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6266&gm_lm_rl=0.37999999523163"">0.40</a>","-0.44","","","12.0","","2.97","Japan","Kumano-Nada (spring brood)","Yes","No"
"10","50.1","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=unsexed&loo=50.10000&k=0.43800&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6263&gm_lm_rl=0.37999999523163"">0.44</a>","-0.06","","","15.0","","3.04","China","Yellow Sea and Bo Hai","No","No"
"11","50.2","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=female&loo=50.20000&k=0.40900&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6273&gm_lm_rl=0.37999999523163"">0.41</a>","-0.49","F","","10.0","","3.01","Japan","Tsushima waters (spring brood)","No","No"
"12","50.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=312&sex=unsexed&loo=50.50000&k=0.28600&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=2345&gm_lm_rl=0.37999999523163"">0.29</a>","","","","13.0","","2.86","Korea (South)","Yellow Sea","Yes","No"
"13","55.3","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=unsexed&loo=55.30000&k=0.29300&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6260&gm_lm_rl=0.37999999523163"">0.29</a>","-0.68","","","21.0","","2.95","China","East China Sea (north)","No","No"
"14","56.1","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=96947&sex=mixed&loo=56.10000&k=0.23300&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=21557&gm_lm_rl=0.37999999523163"">0.23</a>","-1.76","","","","26.4","2.87","China","southern East China Sea","No","No"
"15","56.8","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=unsexed&loo=56.80000&k=0.26100&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6264&gm_lm_rl=0.37999999523163"">0.26</a>","-0.64","","","","","2.93","Japan","Kii Channel","No","No"
"16","58.9","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=72458&sex=unsexed&loo=58.90000&k=0.16800&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=9411&gm_lm_rl=0.37999999523163"">0.17</a>","-2.68","","","","","2.77","","","Yes","No"
"17","60.1","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=female&loo=60.10000&k=0.15800&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6256&gm_lm_rl=0.37999999523163"">0.16</a>","-2.85","F","","22.0","","2.76","Hong Kong","South China Sea","No","No"
"18","62.9","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1305&pref=37992&sex=female&loo=62.90000&k=0.16700&id2=1288&genusname=Trichiurus&speciesname=lepturus&gm_loo=75.07116251681&gm_lm=31.253799768988&gm_m=0.29&gm_k=0.28819537921488&vautoctr=6270&gm_lm_rl=0.37999999523163"">0.17</a>","-1.79","F","","21.0","","2.82","Japan","Kagoshima Bay","No","No"
