"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","20.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=796&sex=male&loo=20.00000&k=0.42000&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=1752&gm_lm_rl=0.60618601550213"">0.42</a>","","M","1.10","11.0","11.0","2.23","UK Engld Wal","English Channel","No","No"
"2","20.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=27372&sex=unsexed&loo=20.00000&k=0.51000&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=1758&gm_lm_rl=0.60618601550213"">0.51</a>","","","","9.0","15.0","2.31","UK","North Sea","No","No"
"3","22.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=27022&sex=unsexed&loo=22.00000&k=0.39000&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=1753&gm_lm_rl=0.60618601550213"">0.39</a>","","","","14.0","","2.28","Spain","Vinaroz and Columbretes Is.","No","No"
"4","22.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=74354&sex=unsexed&loo=22.00000&k=0.41000&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=9437&gm_lm_rl=0.60618601550213"">0.41</a>","","","","","12.0","2.30","UK","English Channel","No","No"
"5","22.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=27022&sex=unsexed&loo=22.20000&k=0.46200&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=1754&gm_lm_rl=0.60618601550213"">0.46</a>","","","","14.0","","2.36","Italy","Strait of Sicily","No","No"
"6","23.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=27030&sex=male&loo=23.30000&k=0.31500&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=1756&gm_lm_rl=0.60618601550213"">0.32</a>","-1.62","M","","14.0","","2.23","Greece","Evvoikos Gulf","No","No"
"7","23.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=57540&sex=male&loo=23.60000&k=0.46800&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=8916&gm_lm_rl=0.60618601550213"">0.47</a>","-4.78","M","","","","2.42","Italy","NW Ancona","No","No"
"8","24.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=796&sex=female&loo=24.00000&k=0.40000&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=1751&gm_lm_rl=0.60618601550213"">0.40</a>","","F","0.90","11.0","13.0","2.36","UK Engld Wal","English Channel","No","No"
"9","24.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=57540&sex=female&loo=24.70000&k=0.80400&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=8917&gm_lm_rl=0.60618601550213"">0.80</a>","-0.35","F","","","","2.69","Italy","NW Ancona","No","No"
"10","25.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=74354&sex=unsexed&loo=25.00000&k=0.56500&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=9425&gm_lm_rl=0.60618601550213"">0.57</a>","","","","","17.0","2.55","Faeroe Is.","Faroe Bank, 60°55´N; 8°40´W","No","No"
"11","32.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=27030&sex=mixed&loo=32.30000&k=0.17900&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=1757&gm_lm_rl=0.60618601550213"">0.18</a>","","","","14.0","14.0","2.27","Greece","North Aegean Sea","No","No"
"12","33.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=495&pref=27030&sex=female&loo=33.50000&k=0.17800&id2=481&genusname=Trisopterus&speciesname=minutus&gm_loo=24.074197294712&gm_lm=13.526878316568&gm_m=0.99498743710662&gm_k=0.3928336233987&vautoctr=1755&gm_lm_rl=0.60618601550213"">0.18</a>","-1.83","F","","14.0","","2.30","Greece","Evvoikos Gulf","No","No"
