"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","185.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=97119&sex=male&loo=185.00000&k=0.21900&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=21567&gm_lm_rl=0.51999998092651"">0.22</a>","-1.97","M","","","","3.87","Spain","western Mediterranean","No","No"
"2","194.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=27030&sex=male&loo=194.00000&k=0.34200&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=1121&gm_lm_rl=0.51999998092651"">0.34</a>","-1.22","M","","19.0","","4.11","Greece","Aegean Sea","No","No"
"3","203.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=7253&sex=male&loo=203.00000&k=0.21000&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=1115&gm_lm_rl=0.51999998092651"">0.21</a>","","M","","19.0","","3.94","Greece","","No","No"
"4","203.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=27030&sex=male&loo=203.00000&k=0.21000&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=1122&gm_lm_rl=0.51999998092651"">0.21</a>","-2.00","M","","19.0","","3.94","Greece","Hellenic Seas","No","No"
"5","203.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=27030&sex=male&loo=203.00000&k=0.24100&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=1123&gm_lm_rl=0.51999998092651"">0.24</a>","-1.21","M","","19.0","","4.00","Greece","Aegean Sea","No","No"
"6","213.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=36658&sex=male&loo=213.00000&k=0.08600&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=5430&gm_lm_rl=0.51999998092651"">0.09</a>","-0.62","M","","27.0","","3.59","Taiwan","","No","No"
"7","220.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=27030&sex=female&loo=220.00000&k=0.25100&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=1118&gm_lm_rl=0.51999998092651"">0.25</a>","-1.51","F","","19.0","","4.08","Greece","Aegean Sea","No","No"
"8","224.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=97124&sex=male&loo=224.00000&k=0.13000&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=21568&gm_lm_rl=0.51999998092651"">0.13</a>","-3.00","M","","","","3.81","Australia","off eastern coast","No","No"
"9","226.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=27030&sex=female&loo=226.00000&k=0.21000&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=1119&gm_lm_rl=0.51999998092651"">0.21</a>","-1.17","F","","19.0","","4.03","Greece","Aegean Sea","No","No"
"10","236.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=240&pref=7253&sex=female&loo=236.00000&k=0.17000&id2=226&genusname=Xiphias&speciesname=gladius&gm_loo=258.77262971235&gm_lm=149.66629547096&gm_m=0.2&gm_k=0.14031552583914&vautoctr=1114&gm_lm_rl=0.51999998092651"">0.17</a>","","F","","19.0","","3.98","Greece","","No","No"
