"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","8.2 kg","","","Thailand","Gillhams Fishing Resort, 2008"
"2","unsexed","25.0 kg","","","India","Godavari River, Karnataka"
"3","unsexed","","75","","India","Govindargh Lake"
"4","unsexed","","92","9","India","India"
"5","unsexed","2.0 kg","","","India","Karnataka"
"6","unsexed","670.00 g","","","India","Krishna River, Karnataka"
"7","unsexed","4.0 kg","","","India","Maharashtra"
"8","unsexed","","91.4","","Nepal","None specified"
"9","unsexed","","100","","Myanmar","not specified / 2002"
"10","unsexed","","61","","India","not specified."
"11","unsexed","8.0 kg","","","India","Powai Lake, unknown"
"12","unsexed","","91","","India","River Godavary"
