"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","","18","Alaska","Alaska"
"2","unsexed","","","11","Canada","British Columbia"
"3","unsexed","","","18","Japan","Hokkaido-Sakhalin, Sea of Japan"
"4","unsexed","510.00 g","33.5","17","Russia","Lake Kalygir´ )Kamchatka)"
"5","unsexed","510.00 g","35","17","Russia","Lake Nerpichiye (Kamchatka)"
"6","unsexed","370.00 g","30","18","Russia","Lake Vilyui (Kamchatka)"
"7","unsexed","750.00 g","39","16","Russia","North-East Kamchatka"
"8","unsexed","550.00 g","45","15","Japan","Northwest Pacific"
"9","unsexed","","","14","","Okhotsk Sea"
"10","unsexed","","","12","Canada","Queen Charlotte Island, British Columbia"
"11","unsexed","","19.6","","China","Shidao, Shandong Province"
"12","unsexed","","","11","Canada","West coast"
"13","unsexed","","","13","Russia","White Sea (Large Zolataya)"
"14","unsexed","","","11","Russia","White Sea (Mezen)"
"15","unsexed","","","5","Russia","White Sea (Small Dvina), estuarine"
"16","unsexed","","","9","Russia","White Sea (Small Kandalaksha)"
"17","unsexed","","","7","Russia","White Sea (Small Onega)"
