"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","14","","Iran","Caspian Sea"
"2","male","","5","","Croatia","Cetina drainage"
"3","female","","6","","Croatia","Cetina drainage"
"4","female","","6.5","","","Drin to Aoos drainages"
"5","male","4.90 g","7.25","4","Poland","Lake Klawoj, 2001-2002"
"6","female","7.30 g","9.71","5","Poland","Lake Klawoj, 2001-2002"
"7","female","","11.5","8","Estonia","Lake Peipsi"
"8","male","","8","","Estonia","Lake Peipsi"
"9","female","","9","5","","Neretva & Trebisnjica drainages"
"10","male","","6","3","","Neretva & Trebisnjica drainages"
"11","male","","7","3","","not specified"
"12","female","","9.5","5","","not specified"
"13","female","7.10 g","10.4","","Estonia","Võhandu River"
"14","male","3.40 g","7.1","","Estonia","Võhandu River"
"15","female","","9","","Estonia","Vääna River"
"16","male","","6.6","","Estonia","Vääna River"
