"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","150","","Iran","Caspian Sea"
"2","unsexed","","130","","","Eurasia"
"3","unsexed","32.7 kg","","","UK","Lake Ken, 1774"
"4","female","","42.2","12","New Zealand","Lake Pounui (41°21'S, 175° 07'E), South Wairarapa, 1974-75"
"5","female","","","12","Lithuania","Lake Rubikiai (55°30' N; 25°18' E), 2005-2006 "
"6","female","7.6 kg","107","12","Lithuania","Lake Rubikiai, 2005-2006"
"7","male","","","11","UK","Loch Davan, 1975-1977"
"8","female","","","13","UK","Loch Kinord, 1975-1977"
"9","unsexed","4.3 kg","78.4","10","Canada","Moose River at Mattagami and Groundhog confluence, 1991-93"
"10","mixed","","103","10","Ireland","Pollaphuca Reservoir, 1990 (April)"
"11","unsexed","","","25","Canada","Saskatchewan River"
"12","unsexed","25.9 kg","","","Norway","Scandinavia, 1892"
"13","unsexed","22.2 kg","","","Canada","St. John's River, Quebec, 1890"
