"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","200","","Global","East Indies"
"2","female","19.5 kg","106","","USA","Florida Keys"
"3","female","25.9 kg","129","","USA","Florida, Atlantic"
"4","unsexed","","114","","","Gulf of Aden, 1983-87"
"5","female","32.2 kg","142","","USA","North Carolina"
"6","female","62.2 kg","165","","USA","Northeastern Gulf of Mexico"
"7","mixed","","","7","Australia","northern and eastern coasts"
"8","unsexed","","200","","Global","Not specified."
"9","unsexed","","200","","Iran","Persian Gulf and Oman Sea"
"10","unsexed","","120","","Guinea-Bissau","Rio Grande de Buba"
"11","unsexed","","200","","South Africa","South Africa"
"12","female","","128","","USA","Texas"
"13","female","34.0 kg","138","","USA","Virginia"
"14","female","45.6 kg","145","","USA","Western Louisiana"
