"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","142.60 g","22.6","8","Turkey","Aksu Stream, Çoruh River (alt: 2800-2900 m), 2002"
"2","mixed","","24","8","Greece","Aspropotamos stream (1981)"
"3","unsexed","","","9","Spain","Bay of Biscay drainage (43°03' - 43°16' N ,  1°29' -  2° W), 1993-2004"
"4","unsexed","","60","","Iran","Caspian Sea"
"5","unsexed","21.0 kg","","","Germany","Chiemsee, 1932"
"6","unsexed","","60","","","Europe "
"7","female","225.00 g","26.1","7","Turkey","Kan stream (alt: 2700 m), upper Çoruh River, 2001"
"8","unsexed","","106","8","Italy","Lago Maggiore (45°57' N, 8°33' W; Alt: 193.5 m ), 2000-2009"
"9","unsexed","15.1 kg","","","Finland","Lake Inarijärvi"
"10","female","2.5 kg","66.5","38","Norway","Lake Viuvatn, 1982"
"11","unsexed","","","8","UK Engld Wal","Lake Windermere"
"12","unsexed","18.3 kg","","","USA","Little Red River, 1992"
"13","unsexed","18.8 kg","","","USA","Manistee River, 2009"
"14","unsexed","2.2 kg","60","6","Russian Fed","Pela river, Kandalaksha Bay, White Sea"
"15","unsexed","","116","12","Argentina","Rio Grande (57° 47’ S; 67° 41’ W), 2005-2008"
"16","unsexed","22.2 kg","","","Argentina","Rio Grande, unknown"
"17","unsexed","2.0 kg","59","7","Russian Fed","Shoguy river, Kandalaksha Bay, White Sea"
"18","unsexed","","89","8","Sweden","Sjlsöån stream, Gotland, 1992-93; 1999-2000"
"19","unsexed","14.0 kg","90","9","Australia","southeastern waters"
"20","unsexed","21.0 kg","","","Germany","Starnberger Lake, 1957"
"21","unsexed","","60","","Italy","Tiber River (upper and middle portions), 1992-2008"
"22","unsexed","","","5","","to be filled"
"23","unsexed","31.0 kg","","","Germany","Walchensee, 1934"
"24","unsexed","20.9 kg","","","Austria","Weißensee, 1974"
"25","unsexed","","130","","","Western Caspian Sea "
