"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","245","","Global","East Indies"
"2","unsexed","","230","","","Gulf of Aden, 1983-87"
"3","male","","","11","Australia","Kimberley, Western Australia"
"4","female","","","12","Australia","Kimberley, Western Australia"
"5","unsexed","","230","","Indonesia","locality not specified"
"6","unsexed","44.9 kg","","","South Africa","Natal, Scottburgh"
"7","male","19.0 kg","127","10","Australia","Northeastern Queensland"
"8","female","35.0 kg","155","14","Australia","Northeastern Queensland"
"9","unsexed","","220","","Oman","Not specified."
"10","unsexed","33.0 kg","194","","India","Palk Bay & Gulf of Mannar, 1967-69"
"11","unsexed","","220","","Iran","Persian Gulf and Oman Sea"
"12","male","22.0 kg","138","22","Australia","Pilbara, Western Australia"
"13","female","40.6 kg","172","18","Australia","Pilbara, Western Australia"
"14","female","70.0 kg","240","","Australia","Queensland waters"
"15","unsexed","","200","","South Africa","South Africa"
"16","female","","","17","Australia","Southern region, Western Australia"
"17","male","","","18","Australia","Southern region, Western Australia"
