"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","","7","","Algerian Sea"
"2","unsexed","","30","","","Black Sea"
"3","unsexed","","","6","Turkey","Black Sea"
"4","unsexed","","","10","Turkey","Dardanelles"
"5","unsexed","","","11","Croatia","Eastern Adriatic"
"6","female","","","6","Tunisia","Gulf of Gabes"
"7","male","","","4","Tunisia","Gulf of Gabes"
"8","unsexed","","","6","Tunisia","Gulf of Gabes"
"9","unsexed","","","7","","Marmara Sea"
"10","unsexed","","","8","Italy","Northwestern Adriatic"
"11","unsexed","","24.5","","Algeria","off Algier, Mediterranean"
"12","female","","","8","Turkey","Sinop Peninsula"
"13","unsexed","","","6","Turkey","Sinop Peninsula"
"14","male","","","5","Turkey","Sinop Peninsula"
