"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","85","","Iran","Caspian Sea"
"2","unsexed","6.3 kg","","","Hungary","Danube River, 1987"
"3","female","","","5","Greece","Lake Mornos (1987-1988)"
"4","male","","","5","Greece","Lake Mornos (1987-1988)"
"5","unsexed","","21","","Greece","Lake Stymphalia & Vouraikos drainage"
"6","unsexed","","25","","","Lakes Prespa basin "
"7","unsexed","","60","15","","not specified"
"8","unsexed","6.3 kg","","","Poland","not specified, 1973"
"9","unsexed","","30","","Greece","Peloponnese"
"10","mixed","","37","8","Greece","Rihios stream"
