"","Linf","length_type","K","t0","sex","temp","Lm","","omega","country","locality","questionable","captive","NA","NA"
"1",15.8,"NG",0.3,NA,NA,NA,NA,NA,1.87,"Russia","Amur River","No","No","Abbottina_rivularis",22903
"2",123,"FL",0.61,NA,NA,NA,27,NA,3.96,"India","Tuticorin, Gulf of Mannar","No","No","Ablennes_hians",972
"3",37.8,"SL",0.15,-0.51,"",NA,NA,NA,2.32,"Hungary","Lake Balaton, northeast","No","No","Abramis_brama",268
"4",42,"TL",0.23,NA,"",0.17,8,NA,2.61,"Russia","Northern Caspian","No","No","Abramis_brama",268
"5",44.6,"SL",0.18,0.23,"",NA,NA,NA,2.54,"Poland","Lake D?bie","No","No","Abramis_brama",268
"6",45.2,"FL",0.1,-0.35,"M",NA,NA,NA,2.32,"Greece","Lake Volvi (1989-1991)","No","No","Abramis_brama",268
"7",45.9,"SL",0.12,-0.56,"",NA,NA,NA,2.4,"Hungary","Lake Balaton, northeast","No","No","Abramis_brama",268
"8",46.8,"TL",0.28,NA,"",NA,NA,NA,2.78,"Russia","Azov Sea (brackish)","No","No","Abramis_brama",268
"9",49,"TL",0.15,NA,"",NA,NA,NA,2.56,"Romania","Matita-Merhei, Danube Delta","No","No","Abramis_brama",268
"10",49.2,"SL",0.13,-0.14,"",NA,NA,NA,2.5,"Czechia","Berounka river","No","No","Abramis_brama",268
"11",50.1,"SL",0.08,0.23,"",NA,NA,NA,2.32,"Hungary","Lake Balaton","No","No","Abramis_brama",268
"12",50.3,"TL",0.18,NA,"",NA,NA,NA,2.66,"Romania","Fortuna, Danube Delta","No","No","Abramis_brama",268
"13",50.7,"FL",0.09,-0.41,"F",NA,NA,NA,2.38,"Greece","Lake Volvi (1989-1991)","No","No","Abramis_brama",268
"14",51.5,"OT",0.11,0.06,"",NA,NA,NA,2.46,"Poland","River Regalica","No","No","Abramis_brama",268
"15",51.9,"TL",0.15,NA,"",NA,6.6,NA,2.62,"Kazakhstan","Aral Lake","No","No","Abramis_brama",268
"16",52.4,"TL",0.43,NA,"",NA,7.8,NA,3.07,"Russia","Ural River Delta","Yes","No","Abramis_brama",268
"17",52.6,"TL",0.18,NA,"",NA,NA,NA,2.7,"Romania","Gorgova, Danube Delta","No","No","Abramis_brama",268
"18",53.6,"TL",0.22,NA,"",NA,NA,NA,2.8,"Romania","Trei lezere, Danube Delta","No","No","Abramis_brama",268
"19",54.1,"TL",0.24,NA,"",NA,6.6,NA,2.85,"Kazakhstan","Aral Lake","No","No","Abramis_brama",268
"20",54.1,"SL",0.14,0.2,"",NA,NA,NA,2.6,"Poland","Szczecin Lagoon","No","No","Abramis_brama",268
"21",54.3,"TL",0.19,NA,"",NA,NA,NA,2.75,"Romania","Uzlina, Danube Delta","No","No","Abramis_brama",268
"22",54.4,"",0.11,0.03,"",NA,NA,NA,2.52,"Poland","Lake Dabie","No","No","Abramis_brama",268
"23",54.6,"TL",0.26,NA,"",NA,NA,NA,2.88,"Russia","Caspian (brackish waters)","No","No","Abramis_brama",268
"24",54.6,"SL",0.19,0.02,"",NA,NA,NA,2.74,"Poland","W?oc?awek Reservoir","No","No","Abramis_brama",268
"25",55.6,"TL",0.17,NA,"",NA,NA,NA,2.72,"Romania","Isacova, Danube Delta","No","No","Abramis_brama",268
"26",56.3,"TL",0.19,NA,"",NA,NA,NA,2.78,"Romania","Puiu-Rosu, Danube Delta","No","No","Abramis_brama",268
"27",57.7,"TL",0.29,NA,"",NA,NA,NA,2.98,"Russia","Azov Sea (brackish)","No","No","Abramis_brama",268
"28",57.7,"SL",0.09,0.89,"",NA,NA,NA,2.46,"Croatia","Danube (near mouth of Drava R.)","No","No","Abramis_brama",268
"29",59.1,"FL",0.1,-0.65,"",NA,NA,NA,2.54,"Russia","Ladoga Lake","No","No","Abramis_brama",268
"30",61.8,"TL",0.07,NA,"",NA,8.3,NA,2.39,"Germany","Mnggelsee (Berlin)","No","No","Abramis_brama",268
"31",63.9,"TL",0.13,NA,"",NA,NA,NA,2.72,"Romania","Sinoe, Danube Delta","No","No","Abramis_brama",268
"32",64.5,"TL",0.14,NA,"",NA,NA,NA,2.77,"Romania","Razim, Danube delta","No","No","Abramis_brama",268
"33",65.5,"TL",0.19,NA,"",NA,7,NA,2.91,"Russia","Middle Course of Dnepr River","No","No","Abramis_brama",268
"34",65.7,"SL",0.09,0.05,"",NA,NA,NA,2.56,"Lithuania","Lake Rubikiai (55°30'0'' N, 25°18'0'' E)","No","No","Abramis_brama",268
"35",68.6,"TL",0.13,NA,"",NA,9,NA,2.79,"Sweden","Lake Havgardsj÷n","No","No","Abramis_brama",268
"36",70.1,"TL",0.06,NA,"",NA,9,NA,2.45,"Finland","Hommanßs-Pellige (brackish)","No","No","Abramis_brama",268
