"","id","X","Linf","length_type","K","t0","sex","temp","Lm","X.1","omega","country","locality","questionable","captive","spp","genus","family","ScientificName","class","order"
"1",2,6001,10.3,"SL",19.64,NA,"",NA,NA,NA,3.32,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"2",2,6002,10.6,"TL",8.14,NA,"",NA,NA,NA,2.96,"Thailand","experimental ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"3",2,6003,10.7,"SL",7.26,NA,"",NA,NA,NA,2.92,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"4",2,6004,11.1,"SL",13,NA,"",NA,NA,NA,3.2,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"5",2,6005,11.4,"SL",6.42,NA,"",NA,NA,NA,2.92,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"6",2,6006,11.8,"SL",4.15,NA,"",NA,NA,NA,2.76,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"7",2,6007,12,"SL",9.87,NA,"",NA,NA,NA,3.15,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"8",2,6008,12.3,"SL",6.53,NA,"",NA,NA,NA,2.99,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"9",2,6009,12.4,"SL",7.16,NA,"",NA,27.6,NA,3.04,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"10",2,6010,12.7,"SL",12.35,NA,"",NA,27.6,NA,3.3,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"11",2,6011,12.9,"SL",5.48,NA,"",NA,NA,NA,2.96,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"12",2,6012,12.9,"SL",13.93,NA,"",NA,NA,NA,3.37,"Philippines","Sampaloc Lake, cages","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"13",2,6013,13.2,"SL",13.21,NA,"M",NA,NA,NA,3.36,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"14",2,6014,13.2,"SL",6.54,NA,"",NA,NA,NA,3.06,"Philippines","Sampaloc Lake, cages","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"15",2,6015,13.3,"SL",7.09,NA,"",NA,NA,NA,3.1,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"16",2,6016,13.3,"SL",7.63,NA,"",NA,NA,NA,3.13,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"17",2,6017,13.5,"SL",9.22,NA,"",NA,27.6,NA,3.23,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"18",2,6018,13.7,"SL",4.75,NA,"",NA,NA,NA,2.95,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"19",2,6019,13.7,"SL",9.71,NA,"",NA,NA,NA,3.26,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"20",2,6020,14.2,"SL",7.29,NA,"",NA,NA,NA,3.17,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"21",2,6021,14.6,"SL",2.39,NA,"",NA,NA,NA,2.71,"Burkina Faso","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"22",2,6022,14.9,"SL",5.69,NA,"",NA,27.6,NA,3.1,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"23",2,6023,15.1,"SL",7.31,NA,"M",NA,NA,NA,3.22,"Central Afr. Rp","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"24",2,6024,15.3,"SL",10.38,NA,"",NA,27.6,NA,3.39,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"25",2,6025,15.4,"SL",7.84,NA,"",NA,NA,NA,3.27,"Philippines","Sampaloc Lake, cages","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"26",2,6026,15.6,"SL",3,NA,"F",NA,NA,NA,2.86,"Central Afr. Rp","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"27",2,6027,15.6,"SL",10.74,NA,"",NA,27.6,NA,3.42,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"28",2,6028,15.7,"SL",7.16,NA,"",NA,NA,NA,3.25,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"29",2,6029,15.8,"SL",7.11,NA,"",NA,NA,NA,3.25,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"30",2,6030,15.8,"SL",8.89,NA,"",NA,NA,NA,3.35,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"31",2,6031,15.8,"TL",0.75,-0.2,"",NA,NA,NA,2.27,"Burkina Faso","Sourou reservoir","Yes","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"32",2,6032,16.3,"SL",9.35,NA,"",NA,27.6,NA,3.4,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"33",2,6033,16.6,"SL",10.94,NA,"",NA,NA,NA,3.48,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
"34",2,6034,16.9,"SL",7.65,NA,"",NA,NA,NA,3.34,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes"
