"","spp","bin_int","bin_n","Annual_mortality","mla","No correction","rw"
"1","Bluegill",10,10,0.2,200,100,100
"2","Bluegill",10,10,0.4,300,100,100
"3","Bluegill",10,10,0.6,NA,200,300
"4","Bluegill",10,20,0.2,200,100,100
"5","Bluegill",10,20,0.4,300,100,100
"6","Bluegill",10,20,0.6,900,200,200
"7","Bluegill",10,30,0.2,200,100,100
"8","Bluegill",10,30,0.4,200,100,100
"9","Bluegill",10,30,0.6,900,200,200
"10","Bluegill",10,40,0.2,200,100,100
"11","Bluegill",10,40,0.4,200,100,100
"12","Bluegill",10,40,0.6,800,200,200
"13","Bluegill",10,50,0.2,200,100,100
"14","Bluegill",10,50,0.4,200,100,100
"15","Bluegill",10,50,0.6,800,200,200
"16","Bluegill",25,10,0.2,NA,NA,400
"17","Bluegill",25,10,0.4,NA,NA,NA
"18","Bluegill",25,10,0.6,NA,600,NA
"19","Bluegill",25,20,0.2,200,100,100
"20","Bluegill",25,20,0.4,700,100,100
"21","Bluegill",25,20,0.6,NA,200,600
"22","Bluegill",25,30,0.2,200,100,100
"23","Bluegill",25,30,0.4,300,100,100
"24","Bluegill",25,30,0.6,NA,200,200
"25","Bluegill",25,40,0.2,100,100,100
"26","Bluegill",25,40,0.4,300,100,100
"27","Bluegill",25,40,0.6,NA,200,200
"28","Bluegill",25,50,0.2,200,100,100
"29","Bluegill",25,50,0.4,200,100,100
"30","Bluegill",25,50,0.6,NA,200,200
"31","Channel Catfish",25,50,0.2,600,600,600
"32","Largemouth Bass",10,10,0.2,100,25,25
"33","Largemouth Bass",10,10,0.4,500,50,50
"34","Largemouth Bass",10,10,0.6,NA,200,200
"35","Largemouth Bass",10,20,0.2,100,25,25
"36","Largemouth Bass",10,20,0.4,500,50,50
"37","Largemouth Bass",10,20,0.6,NA,200,200
"38","Largemouth Bass",10,30,0.2,100,25,25
"39","Largemouth Bass",10,30,0.4,500,50,50
"40","Largemouth Bass",10,30,0.6,NA,200,200
"41","Largemouth Bass",10,40,0.2,100,25,25
"42","Largemouth Bass",10,40,0.4,500,50,50
"43","Largemouth Bass",10,40,0.6,NA,200,200
"44","Largemouth Bass",10,50,0.2,100,25,25
"45","Largemouth Bass",10,50,0.4,500,50,50
"46","Largemouth Bass",10,50,0.6,NA,200,200
"47","Largemouth Bass",25,10,0.2,100,25,25
"48","Largemouth Bass",25,10,0.4,600,100,50
"49","Largemouth Bass",25,10,0.6,NA,400,300
"50","Largemouth Bass",25,20,0.2,100,50,50
"51","Largemouth Bass",25,20,0.4,500,50,50
"52","Largemouth Bass",25,20,0.6,NA,200,200
